,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Santa Maria do Para,92,BR,1553359272,91,-1.35,-47.58,80.05,8.21
1,Camabatela,88,AO,1553359272,97,-8.19,15.37,68.17,2.95
2,Castro,75,CL,1553356800,71,-42.48,-73.76,57.2,2.24
3,Lompoc,90,US,1553358958,100,34.64,-120.46,59.0,8.05
4,Khatanga,0,RU,1553359273,48,71.98,102.47,-16.44,3.18
5,Bluff,0,AU,1553359273,89,-23.58,149.07,70.24,3.74
6,East London,0,ZA,1553356800,78,-33.02,27.91,77.0,14.99
7,Adana,0,TR,1553356200,42,37.0,35.33,66.2,6.93
8,Dryden,1,CA,1553356800,44,49.79,-92.84,37.4,12.75
9,Shediac,90,CA,1553358664,93,46.22,-64.55,37.4,13.87
10,Ribeira Grande,40,PT,1553356800,58,38.52,-28.7,59.0,14.99
11,Price,1,US,1553359161,86,39.6,-110.81,43.0,4.7
12,Chokurdakh,56,RU,1553359112,50,70.62,147.9,-17.52,3.18
13,Washougal,40,US,1553359264,93,45.58,-122.35,51.01,3.36
14,Kapaa,90,US,1553358780,88,22.08,-159.32,69.8,10.22
15,Hithadhoo,68,MV,1553359275,100,-0.6,73.08,86.89,7.31
16,Mar del Plata,56,AR,1553358989,72,-46.43,-67.52,58.45,14.47
17,Gladstone,75,AU,1553358626,83,-23.84,151.26,75.2,3.36
18,Hobart,75,AU,1553359096,77,-42.88,147.33,64.4,6.93
19,Mataura,64,NZ,1553359206,90,-46.19,168.86,55.99,2.73
20,Ushuaia,20,AR,1553356800,93,-54.81,-68.31,50.0,3.36
21,Pangody,88,RU,1553359277,89,65.85,74.49,25.69,6.42
22,Hilo,40,US,1553359214,88,19.71,-155.08,66.99,5.82
23,Punta Arenas,20,CL,1553358795,76,-53.16,-70.91,57.2,6.93
24,Rikitea,32,PF,1553359277,98,-23.12,-134.97,79.33,18.95
25,Caravelas,92,BR,1553359277,100,-17.73,-39.27,80.05,21.52
26,Simao,0,CN,1553359278,61,22.76,100.79,61.6,2.62
27,Hermanus,64,ZA,1553359278,56,-34.42,19.24,72.22,3.62
28,Candido Mendes,36,BR,1553359278,100,-1.45,-45.72,82.12,12.91
29,Tiksi,48,RU,1553359278,68,71.64,128.87,1.57,3.06
30,Jamestown,92,AU,1553359150,93,-33.21,138.6,63.22,7.76
31,Georgetown,40,GY,1553356800,66,6.8,-58.16,91.4,13.87
32,Marfino,75,RU,1553356800,69,56.07,37.56,39.2,4.47
33,Mirabad,92,IR,1553359279,97,28.27,61.33,47.11,2.73
34,Salalah,40,OM,1553356200,74,17.01,54.1,80.6,10.29
35,Cape Town,0,ZA,1553359089,68,-33.93,18.42,73.99,11.41
36,Esperance,40,TT,1553358626,46,10.24,-61.45,89.6,16.11
37,Makinsk,8,KZ,1553359280,75,52.63,70.42,20.02,2.84
38,Nikolskoye,75,RU,1553359235,45,59.7,30.79,42.8,13.42
39,Hasaki,20,JP,1553356940,69,35.73,140.83,35.6,4.7
40,Kodiak,90,US,1553359150,57,39.95,-94.76,52.0,13.87
41,Shwebo,24,MM,1553359281,76,22.57,95.7,73.39,8.66
42,Narsaq,20,GL,1553356200,40,60.91,-46.05,17.6,6.93
43,Chuy,20,UY,1553359282,83,-33.69,-53.46,74.92,7.31
44,Kulob,48,TJ,1553356800,93,37.91,69.78,51.8,4.47
45,Vaini,0,IN,1553359271,85,15.34,74.49,69.97,3.06
46,Carnarvon,92,ZA,1553359283,16,-30.97,22.13,78.7,7.43
47,Saskylakh,0,RU,1553359283,33,71.97,114.09,-23.01,3.4
48,Komsomolskiy,80,RU,1553359283,88,67.55,63.78,22.63,11.68
49,Sinnamary,92,GF,1553359283,87,5.38,-52.96,82.39,11.34
50,Grindavik,75,IS,1553356800,86,63.84,-22.43,39.2,19.46
51,New Norfolk,75,AU,1553359276,77,-42.78,147.06,64.4,6.93
52,Nanning,90,CN,1553356800,76,22.83,108.3,57.2,6.71
53,Back Mountain,1,US,1553359255,34,41.34,-76.0,43.0,12.75
54,Tromso,40,NO,1553358000,55,69.65,18.96,39.2,35.57
55,Batagay,48,RU,1553359284,41,67.65,134.64,-13.92,2.73
56,Kapit,24,MY,1553359285,92,2.02,112.94,74.29,2.06
57,Meulaboh,36,ID,1553359192,100,4.14,96.13,77.8,3.4
58,Nanortalik,24,GL,1553359285,100,60.14,-45.24,23.17,17.72
59,Kokopo,56,PG,1553359285,100,-4.34,152.27,79.06,4.74
60,Havre-Saint-Pierre,90,CA,1553357160,86,50.23,-63.6,33.8,20.8
61,Qaanaaq,8,GL,1553359286,61,77.48,-69.36,-21.57,10.0
62,Galle,90,US,1553359285,73,29.74,-97.91,71.6,12.75
63,Mukhen,0,RU,1553359286,68,48.19,136.14,1.12,4.29
64,Albany,90,US,1553358967,68,42.65,-73.75,37.0,16.11
65,Rawson,68,AR,1553359286,45,-43.3,-65.11,66.1,24.09
66,Houma,44,CN,1553359287,61,35.63,111.36,28.57,2.28
67,Beloha,36,MG,1553359009,76,-25.17,45.06,76.99,17.49
68,Dumas,0,IN,1553358600,35,21.09,72.71,84.2,6.42
69,San Felipe,0,CL,1553359128,27,-32.75,-70.73,84.0,2.28
70,Kununurra,40,AU,1553356800,83,-15.77,128.74,78.8,2.24
71,Upernavik,24,GL,1553359119,100,72.79,-56.15,-5.91,9.66
72,Tra Vinh,64,VN,1553359288,87,9.93,106.35,80.32,6.98
73,Lavrentiya,92,RU,1553359288,100,65.58,-170.99,14.17,10.0
74,Pevek,0,RU,1553359279,35,69.7,170.27,-23.64,3.4
75,Yellowknife,20,CA,1553358996,59,62.45,-114.38,1.4,13.87
76,Puerto Ayora,40,EC,1553358624,74,-0.74,-90.35,84.2,8.05
77,Ancud,75,CL,1553356800,71,-41.87,-73.83,57.2,2.24
78,Busselton,8,AU,1553359217,46,-33.64,115.35,53.01,13.24
79,Setermoen,80,NO,1553358642,48,68.86,18.35,39.2,27.51
80,Tashla,20,RU,1553355000,90,53.71,49.75,32.0,6.71
81,Monroe,1,US,1553359194,51,41.91,-83.4,42.01,4.7
82,Ossora,56,RU,1553359290,83,59.24,163.07,13.9,11.79
83,Beisfjord,75,NO,1553358679,83,68.38,17.6,35.01,19.46
84,Port Macquarie,75,AU,1553359205,100,-31.43,152.91,72.0,5.82
85,Butaritari,68,KI,1553359291,100,3.07,172.79,81.4,8.99
86,Denpasar,75,ID,1553355000,94,-8.65,115.22,77.0,8.05
87,Lagoa,0,PT,1553359103,59,37.14,-8.45,70.0,13.87
88,Sur,12,OM,1553359291,84,22.57,59.53,75.64,6.76
89,Usakos,76,NA,1553359292,70,-22.0,15.59,76.36,2.62
90,Cidreira,12,BR,1553359292,85,-30.17,-50.22,74.47,5.41
91,Iqaluit,90,CA,1553358770,71,63.75,-68.52,3.2,32.21
92,Norman Wells,40,CA,1553356800,73,65.28,-126.83,23.0,24.16
93,Praia da Vitoria,75,PT,1553358669,71,38.73,-27.07,57.99,31.25
94,Kahului,20,US,1553359249,87,20.89,-156.47,69.8,6.93
95,Kruisfontein,0,ZA,1553359293,83,-34.0,24.73,70.33,9.78
96,Zhigansk,68,RU,1553359294,78,66.77,123.37,8.77,6.42
97,Alofi,48,NU,1553356800,88,-19.06,-169.92,71.6,5.82
98,Smiltene,92,LV,1553359217,87,57.42,25.9,44.01,5.99
99,Sorong,88,ID,1553359294,100,-0.86,131.25,80.41,8.55
100,Fortuna,20,ES,1553359291,48,38.18,-1.13,63.0,4.7
101,Kysyl-Syr,88,RU,1553359295,72,63.9,122.77,7.96,7.76
102,Bako,0,NG,1553359295,50,9.68,6.4,90.4,2.73
103,Cabo San Lucas,5,MX,1553359203,64,22.89,-109.91,79.0,3.36
104,Moree,90,AU,1553358630,50,-29.46,149.84,80.01,9.17
105,Ocean City,1,US,1553359006,28,30.44,-86.61,73.0,4.7
106,Husavik,0,CA,1553359252,69,50.56,-96.99,37.0,5.99
107,Port Alfred,0,ZA,1553359211,90,-33.59,26.89,79.0,7.0
108,Zakharovo,0,RU,1553359053,58,54.37,39.28,37.0,3.0
109,Kitimat,75,CA,1553358617,93,54.02,-128.69,43.0,3.36
110,West Wendover,1,US,1553356560,81,40.74,-114.07,42.8,3.36
111,Fulton,1,US,1553359284,42,43.32,-76.42,30.99,14.99
112,Ostrovnoy,8,RU,1553359297,87,68.05,39.51,29.29,26.33
113,Linkou,0,CN,1553359297,68,45.29,130.27,14.8,5.3
114,Vila Velha,75,BR,1553358369,88,-3.71,-38.6,81.0,6.93
115,Dunedin,68,NZ,1553358800,85,-45.87,170.5,60.01,4.0
116,La Palma,56,CO,1553359298,94,5.36,-74.39,72.67,2.28
117,Ponta do Sol,36,BR,1553359298,79,-20.63,-46.0,77.89,5.19
118,Hounde,20,BF,1553359087,13,11.5,-3.52,93.73,6.64
119,Tungor,24,RU,1553359299,79,53.39,142.95,-1.32,11.45
120,Blackwater,68,GB,1553359296,54,51.33,-0.78,55.99,10.29
121,Buala,48,SB,1553359299,100,-8.15,159.59,78.97,5.19
122,Rovaniemi,40,FI,1553358000,65,66.5,25.72,33.8,18.34
123,Phaltan,0,IN,1553359300,45,17.99,74.43,68.89,3.96
124,Ravar,24,IR,1553359300,59,31.27,56.81,46.12,0.83
125,Fuxin,0,CN,1553359300,30,42.02,121.65,35.05,11.79
126,Oktyabrskoye,0,RU,1553359233,83,56.73,85.44,35.01,2.24
127,Bredasdorp,8,ZA,1553356800,78,-34.53,20.04,73.4,14.99
128,Prince Rupert,90,CA,1553356800,65,54.32,-130.32,46.4,11.41
129,Dikson,68,RU,1553359301,91,73.51,80.55,15.07,21.52
130,Nelson Bay,75,AU,1553359238,88,-32.72,152.14,72.0,4.7
131,Faanui,44,PF,1553359302,100,-16.48,-151.75,83.47,10.22
132,Saldanha,24,PT,1553359302,29,41.42,-6.55,64.75,8.66
133,Puerto Carreno,75,CO,1553356800,52,6.19,-67.49,89.6,5.82
134,Thompson,40,CA,1553356800,62,55.74,-97.86,19.4,14.99
135,Turayf,75,SA,1553356800,32,31.68,38.65,66.2,9.17
136,Fort Nelson,75,CA,1553356800,80,58.81,-122.69,33.8,5.82
137,Namatanai,68,PG,1553359303,100,-3.66,152.44,81.49,10.0
138,Tasiilaq,20,GL,1553356200,61,65.61,-37.64,15.8,12.75
139,Uusikaupunki,0,FI,1553358000,75,60.8,21.41,42.8,9.17
140,Tateyama,88,JP,1553359198,69,36.66,137.31,37.99,4.0
141,Mareeba,75,AU,1553358918,88,-16.99,145.42,77.0,11.41
142,Matara,40,PE,1553356800,62,-13.74,-72.9,55.4,2.51
143,Bonavista,12,CA,1553359305,77,48.65,-53.11,44.14,10.33
144,Taoudenni,56,ML,1553359305,11,22.68,-3.98,85.63,8.88
145,Lebu,75,ET,1553356800,26,8.96,38.73,71.6,11.41
146,Eyl,100,SO,1553359305,95,7.98,49.82,80.05,12.12
147,Torbay,20,CA,1553359072,71,47.66,-52.73,55.4,17.22
148,Xuddur,0,SO,1553359306,37,4.12,43.89,82.12,9.44
149,Plymouth,90,GB,1553359274,100,50.37,-4.14,52.0,3.36
150,Atuona,68,PF,1553359306,100,-9.8,-139.03,82.12,16.49
151,Ocos,20,GT,1553356800,70,14.51,-92.19,87.8,4.7
152,Souillac,0,FR,1553359191,26,45.6,-0.6,71.6,6.93
153,Miri,12,NG,1553359307,21,10.31,9.75,89.05,8.43
154,Teguldet,64,RU,1553359307,81,57.31,88.17,25.6,1.16
155,Le Port,20,FR,1553359245,24,42.87,1.37,68.0,12.75
156,Thinadhoo,32,MV,1553359308,100,0.53,72.93,85.9,7.65
157,San Vicente,0,SV,1553356200,29,13.64,-88.78,91.4,12.75
158,Santa Isabel do Rio Negro,12,BR,1553359310,64,-0.41,-65.02,90.22,4.18
159,Byron Bay,0,AU,1553359228,94,-28.65,153.62,77.0,3.36
160,Toba Tek Singh,0,PK,1553359310,88,30.98,72.49,60.7,4.41
161,Alice Springs,0,AU,1553356800,39,-23.7,133.88,84.2,5.82
162,Marsh Harbour,0,BS,1553359311,100,26.54,-77.06,73.84,5.53
163,Puerto Leguizamo,68,CO,1553359311,81,-0.19,-74.78,82.12,2.73
164,Barrow,0,AR,1553359070,48,-38.31,-60.23,79.42,21.41
165,Cherskiy,12,RU,1553359311,22,68.75,161.3,-14.64,2.17
166,Siavonga,100,ZW,1553359311,52,-16.54,28.71,84.19,5.86
167,Meadow Lake,5,CA,1553356800,86,54.13,-108.44,33.8,3.36
168,Matagami,24,NG,1553359312,42,9.67,8.4,84.19,4.41
169,Vao,92,EE,1553359312,94,59.1,26.19,38.2,11.34
170,Tilichiki,0,RU,1553359312,41,60.47,166.1,-14.1,2.95
171,Inyonga,44,TZ,1553359313,92,-6.72,32.06,68.17,2.17
172,Mahibadhoo,0,MV,1553359271,99,3.78,72.97,85.63,10.11
173,Alekseyevsk,44,RU,1553359313,68,57.84,108.35,21.91,6.64
174,Iralaya,12,HN,1553359313,67,15.0,-83.23,83.74,6.64
175,Tuktoyaktuk,90,CA,1553356800,71,69.44,-133.03,5.0,24.16
176,Sao Joao da Barra,75,BR,1553356800,65,-21.64,-41.05,82.4,2.24
177,Severo-Kurilsk,80,RU,1553359309,96,50.68,156.12,30.1,18.61
178,Hamilton,75,BM,1553359118,64,32.3,-64.78,73.0,20.8
179,Abbeville,76,FR,1553359260,81,50.11,1.83,53.01,11.41
180,Saint-Pierre,0,FR,1553359025,71,48.95,4.24,59.0,12.75
181,Vestmannaeyjar,75,IS,1553356800,93,63.44,-20.27,37.4,13.87
182,Quelimane,75,MZ,1553356800,83,-17.88,36.89,80.6,8.05
183,Port Elizabeth,1,US,1553359296,39,39.31,-74.98,46.99,24.16
184,Pishva,40,IR,1553358600,22,35.31,51.73,57.2,9.17
185,Saint-Philippe,75,CA,1553359202,54,45.36,-73.48,30.99,18.34
186,Samarai,92,PG,1553359317,100,-10.62,150.67,75.82,9.78
187,Tondano,20,ID,1553358600,100,1.3,124.91,73.4,1.12
188,Henties Bay,0,NA,1553356928,85,-22.12,14.28,64.0,7.0
189,Airai,32,TL,1553359317,88,-8.93,125.41,70.24,1.61
190,Oksfjord,24,NO,1553358000,74,70.24,22.35,39.2,6.93
191,Arraial do Cabo,40,BR,1553356800,65,-22.97,-42.02,82.4,12.75
192,Rio Gallegos,75,AR,1553356800,87,-51.62,-69.22,53.6,4.7
193,Suntar,80,RU,1553359318,69,62.16,117.65,13.09,8.77
194,Ahuimanu,75,US,1553359209,88,21.44,-157.84,71.6,9.17
195,Karatsu,90,JP,1553359256,45,33.45,129.97,48.99,14.99
196,Tuatapere,76,NZ,1553358609,90,-46.13,167.69,55.99,6.76
197,Geraldton,20,CA,1553356800,25,49.72,-86.95,41.0,13.87
198,Omboue,80,GA,1553359319,100,-1.57,9.26,79.69,10.22
199,Pacific Grove,90,US,1553359269,87,36.62,-121.92,55.99,5.3
200,Bubaque,8,GW,1553359320,80,11.28,-15.83,84.19,5.86
201,Emba,20,CY,1553358650,82,34.81,32.42,62.6,3.36
202,Kaitangata,80,NZ,1553359320,91,-46.28,169.85,56.38,3.96
203,Longyearbyen,75,NO,1553356200,79,78.22,15.63,21.2,13.87
204,Puerto Escondido,0,MX,1553359320,100,15.86,-97.07,83.38,5.19
205,Krasnyy Chikoy,88,RU,1553359320,69,50.36,108.75,26.95,3.96
206,Teya,40,MX,1553358628,45,21.05,-89.07,82.99,8.05
207,Kestel,40,TR,1553356200,34,40.2,29.21,51.8,12.75
208,Vostok,0,RU,1553359321,67,46.45,135.83,6.34,2.51
209,Lenoir,1,US,1553359218,14,35.91,-81.54,60.01,5.82
210,Churapcha,48,RU,1553359322,62,62.0,132.43,-0.15,5.75
211,Jalu,8,LY,1553359322,43,29.03,21.55,71.32,13.8
212,Solnechnyy,0,RU,1553359322,59,50.72,136.64,1.39,4.74
213,Bethel,90,US,1553356560,80,60.79,-161.76,35.6,5.82
214,Provideniya,92,RU,1553359295,100,64.42,-173.23,15.07,12.24
215,Bathsheba,20,BB,1553356800,58,13.22,-59.52,86.0,20.8
216,Pudozh,88,RU,1553359042,94,61.81,36.54,33.43,19.51
217,Marabba,8,SD,1553359323,18,12.35,32.18,87.25,8.66
218,Luderitz,8,NA,1553359323,82,-26.65,15.16,63.49,11.79
219,Avarua,80,CK,1553358600,94,-21.21,-159.78,75.2,2.24
220,Yashkul,92,RU,1553359323,98,46.17,45.34,39.73,4.41
221,Namibe,24,AO,1553359323,100,-15.19,12.15,78.25,6.76
222,Sincai,0,RO,1553356800,24,46.65,24.38,59.0,6.93
223,Kokkola,0,FI,1553359118,93,63.84,23.13,37.99,12.75
224,Klaksvik,92,FO,1553358000,97,62.23,-6.59,41.0,13.87
225,Tazovskiy,88,RU,1553359324,89,67.47,78.7,23.62,7.99
226,Poyarkovo,44,RU,1553359324,36,49.62,128.65,15.79,8.55
227,Kudahuvadhoo,8,MV,1553359325,99,2.67,72.89,85.27,10.33
228,Mitsamiouli,40,KM,1553356800,88,-11.38,43.28,80.6,2.24
229,Harper,90,US,1553359254,93,30.3,-99.24,64.4,8.05
230,Mehamn,0,NO,1553359326,73,71.03,27.85,27.4,5.64
231,Langsa,0,ID,1553359326,83,4.47,97.97,70.87,1.95
232,Ishinomaki,0,JP,1553359326,100,38.42,141.3,35.05,4.52
233,Khani,90,GE,1553358600,100,41.96,42.96,44.6,2.24
234,Matveyevka,68,UA,1553359327,64,45.75,33.81,40.63,10.56
235,Abu Samrah,0,SY,1553359327,70,35.3,37.18,57.46,6.2
236,Inirida,92,CO,1553359327,86,3.87,-67.92,79.24,2.95
237,Aksarka,0,RU,1553359328,72,66.56,67.8,8.59,3.51
238,Kibuye,8,RW,1553359328,87,-2.07,29.35,64.21,1.95
239,Ziyang,80,CN,1553359328,81,30.12,104.65,49.09,6.98
240,Isla Mujeres,40,MX,1553358790,47,21.23,-86.73,80.6,10.29
241,Poum,20,MK,1553356800,65,41.28,20.71,57.2,1.12
242,Riyadh,0,SA,1553356800,31,24.63,46.72,77.0,9.17
243,Nejdek,0,CZ,1553359325,33,50.32,12.73,62.6,5.82
244,Nadym,92,RU,1553359329,93,65.53,72.51,28.75,6.98
245,Ilulissat,40,GL,1553356200,36,69.22,-51.1,-5.81,17.22
246,Juneau,90,US,1553356560,93,58.3,-134.42,46.4,13.87
247,Bambous Virieux,75,MU,1553359140,83,-20.34,57.76,82.4,10.29
248,Maldonado,75,UY,1553356800,50,-34.91,-54.96,75.2,11.41
249,Komyshuvakha,36,UA,1553359330,76,48.64,37.46,34.51,13.69
250,Coihaique,40,CL,1553356800,54,-45.58,-72.07,59.0,9.17
251,Fairbanks,1,US,1553359049,76,64.84,-147.72,36.0,11.41
252,Katobu,88,ID,1553359331,100,-4.94,122.53,80.41,3.29
253,Bafq,36,IR,1553359041,34,31.6,55.4,49.27,3.62
254,Calvinia,64,ZA,1553359331,26,-31.47,19.78,74.83,1.95
255,Nyurba,76,RU,1553359331,75,63.29,118.35,15.97,7.2
256,Rio Grande,75,BR,1553356800,53,-32.03,-52.1,77.0,6.93
257,Mahebourg,75,MU,1553359140,83,-20.41,57.7,82.4,10.29
258,Bonnyville,40,CA,1553356800,69,54.27,-110.74,37.4,10.29
259,Balabac,0,PH,1553359332,99,7.99,117.06,81.94,10.56
260,Necochea,0,AR,1553358989,38,-38.55,-58.74,80.01,8.99
261,Aksu,40,KZ,1553358600,100,52.04,76.93,30.2,2.24
262,Maragogi,0,BR,1553359332,100,-9.01,-35.22,84.28,9.66
263,Emerald,0,AU,1553358735,78,-23.53,148.16,77.0,6.93
264,Huinan,0,CN,1553359333,59,42.68,126.04,22.9,12.68
265,Azul,0,AR,1553359132,59,-36.78,-59.86,76.18,17.83
266,Beringovskiy,92,RU,1553359333,84,63.05,179.32,6.88,20.74
